PIN,complete,date,calendar_time,timestamp,location,stage,commit,version,block,item,food_item,correct,belief_strength
'00003',y,07-08-2020,09:41:19,22933,United States,VVR2,5b501e4,L,2,2,MM.png,y,2.28
'00003',y,07-08-2020,09:42:48,10919,United States,VVR3,5b501e4,L,1,1,TT.png,y,1.72
'00003',y,07-08-2020,09:42:49,12546,United States,VVR3,5b501e4,L,1,2,MM.png,y,7.40
'00003',y,07-08-2020,09:43:02,24804,United States,VVR3,5b501e4,L,2,1,MM.png,y,6.64
'00003',y,07-08-2020,09:43:04,27048,United States,VVR3,5b501e4,L,2,2,TT.png,y,2.26
'00004',y,07-08-2020,09:39:12,9216,Philippines,VVR1,5b501e4,D,1,1,TT.png,y,8.98
'00004',y,07-08-2020,09:39:14,10820,Philippines,VVR1,5b501e4,D,1,2,BBQ.png,y,3.06
'00004',y,07-08-2020,09:39:24,21234,Philippines,VVR1,5b501e4,D,2,1,BBQ.png,y,4.66
'00004',y,07-08-2020,09:39:26,22836,Philippines,VVR1,5b501e4,D,2,2,TT.png,y,3.04
'00004',y,07-08-2020,09:40:55,11126,Philippines,VVR2,5b501e4,D,1,1,BBQ.png,y,1.78
'00004',y,07-08-2020,09:40:57,12676,Philippines,VVR2,5b501e4,D,1,2,TT.png,y,7.44
'00004',y,07-08-2020,09:41:07,23312,Philippines,VVR2,5b501e4,D,2,1,TT.png,y,6.70
'00004',y,07-08-2020,09:41:09,24902,Philippines,VVR2,5b501e4,D,2,2,BBQ.png,y,6.44
'00004',y,07-08-2020,09:42:37,9641,Philippines,VVR3,5b501e4,D,1,1,TT.png,y,3.62
'00004',y,07-08-2020,09:42:39,11352,Philippines,VVR3,5b501e4,D,1,2,BBQ.png,y,2.04
'00004',y,07-08-2020,09:42:49,21626,Philippines,VVR3,5b501e4,D,2,1,BBQ.png,y,2.48
'00004',y,07-08-2020,09:42:51,23358,Philippines,VVR3,5b501e4,D,2,2,TT.png,y,5.22
'00005',y,07-08-2020,09:39:14,8330,United States,VVR1,5b501e4,F,1,1,MM.png,y,6.40
'00005',y,07-08-2020,09:39:16,10050,United States,VVR1,5b501e4,F,1,2,TT.png,y,6.64
'00005',y,07-08-2020,09:39:26,20658,United States,VVR1,5b501e4,F,2,1,MM.png,y,4.48
'00005',y,07-08-2020,09:39:28,22345,United States,VVR1,5b501e4,F,2,2,TT.png,y,5.22
'00005',y,07-08-2020,09:40:55,9138,United States,VVR2,5b501e4,F,1,1,TT.png,y,2.96
'00005',y,07-08-2020,09:40:57,10722,United States,VVR2,5b501e4,F,1,2,MM.png,y,4.44
'00005',y,07-08-2020,09:41:07,21162,United States,VVR2,5b501e4,F,2,1,MM.png,y,3.70
'00005',y,07-08-2020,09:41:09,22714,United States,VVR2,5b501e4,F,2,2,TT.png,y,2.90
'00005',y,07-08-2020,09:42:38,10423,United States,VVR3,5b501e4,F,1,1,MM.png,y,6.82
'00005',y,07-08-2020,09:42:39,12139,United States,VVR3,5b501e4,F,1,2,TT.png,y,4.88
'00005',y,07-08-2020,09:42:49,21953,United States,VVR3,5b501e4,F,2,1,MM.png,y,7.22
'00005',y,07-08-2020,09:42:52,24417,United States,VVR3,5b501e4,F,2,2,TT.png,y,6.28
'00006',y,07-08-2020,09:39:14,9412,Philippines,VVR1,5b501e4,L,1,1,MM.png,y,8.40
'00006',y,07-08-2020,09:39:16,11119,Philippines,VVR1,5b501e4,L,1,2,TT.png,y,6.64
'00006',y,07-08-2020,09:39:25,20706,Philippines,VVR1,5b501e4,L,2,1,TT.png,y,2.06
'00006',y,07-08-2020,09:39:27,22468,Philippines,VVR1,5b501e4,L,2,2,MM.png,y,9.04
'00006',y,07-08-2020,09:40:56,10144,Philippines,VVR2,5b501e4,L,1,1,TT.png,y,4.28
'00006',y,07-08-2020,09:40:57,11776,Philippines,VVR2,5b501e4,L,1,2,MM.png,y,5.10
'00006',y,07-08-2020,09:41:08,22549,Philippines,VVR2,5b501e4,L,2,1,MM.png,y,1.08
'00006',y,07-08-2020,09:41:10,24256,Philippines,VVR2,5b501e4,L,2,2,TT.png,y,1.36
'00006',y,07-08-2020,09:42:37,9260,Philippines,VVR3,5b501e4,L,1,1,MM.png,y,7.14
'00006',y,07-08-2020,09:42:39,10883,Philippines,VVR3,5b501e4,L,1,2,TT.png,y,1.40
'00006',y,07-08-2020,09:42:50,22167,Philippines,VVR3,5b501e4,L,2,1,TT.png,y,1.52
'00006',y,07-08-2020,09:42:52,23916,Philippines,VVR3,5b501e4,L,2,2,MM.png,y,7.76
'00007',y,07-08-2020,09:38:30,8146,United States,VVR1,5b501e4,A,1,1,BBQ.png,y,8.40
'00007',y,07-08-2020,09:38:32,9697,United States,VVR1,5b501e4,A,1,2,MM.png,y,1.64
'00007',y,07-08-2020,09:38:42,19829,United States,VVR1,5b501e4,A,2,1,MM.png,y,6.28
'00007',y,07-08-2020,09:38:43,21379,United States,VVR1,5b501e4,A,2,2,BBQ.png,y,3.16
'00007',y,07-08-2020,09:40:10,8114,United States,VVR2,5b501e4,A,1,1,MM.png,y,8.98
'00007',y,07-08-2020,09:40:11,9683,United States,VVR2,5b501e4,A,1,2,BBQ.png,y,7.74
'00007',y,07-08-2020,09:40:21,19808,United States,VVR2,5b501e4,A,2,1,MM.png,y,2.94
'00007',y,07-08-2020,09:40:23,21359,United States,VVR2,5b501e4,A,2,2,BBQ.png,y,8.88
'00007',y,07-08-2020,09:41:49,8112,United States,VVR3,5b501e4,A,1,1,BBQ.png,y,6.22
'00007',y,07-08-2020,09:41:51,9661,United States,VVR3,5b501e4,A,1,2,MM.png,y,7.58
'00007',y,07-08-2020,09:42:00,18812,United States,VVR3,5b501e4,A,2,1,MM.png,y,6.08
'00007',y,07-08-2020,09:42:01,20361,United States,VVR3,5b501e4,A,2,2,BBQ.png,y,4.66
'00008',y,07-08-2020,09:38:44,10127,United Kingdom,VVR1,5b501e4,A,1,1,MM.png,y,2.46
'00008',y,07-08-2020,09:38:46,11697,United Kingdom,VVR1,5b501e4,A,1,2,BBQ.png,y,4.24
'00008',y,07-08-2020,09:38:55,20828,United Kingdom,VVR1,5b501e4,A,2,1,BBQ.png,y,2.32
'00008',y,07-08-2020,09:38:57,22376,United Kingdom,VVR1,5b501e4,A,2,2,MM.png,y,4.12
'00008',y,07-08-2020,09:40:25,10159,United Kingdom,VVR2,5b501e4,A,1,1,MM.png,y,7.68
'00008',y,07-08-2020,09:40:26,11707,United Kingdom,VVR2,5b501e4,A,1,2,BBQ.png,y,1.66
'00008',y,07-08-2020,09:40:37,21873,United Kingdom,VVR2,5b501e4,A,2,1,MM.png,y,6.68
'00008',y,07-08-2020,09:40:38,23423,United Kingdom,VVR2,5b501e4,A,2,2,BBQ.png,y,5.74
'00008',y,07-08-2020,09:42:07,11206,United Kingdom,VVR3,5b501e4,A,1,1,BBQ.png,y,3.28
'00008',y,07-08-2020,09:42:09,12777,United Kingdom,VVR3,5b501e4,A,1,2,MM.png,y,2.26
'00008',y,07-08-2020,09:42:18,22078,United Kingdom,VVR3,5b501e4,A,2,1,MM.png,y,5.32
'00008',y,07-08-2020,09:42:20,23649,United Kingdom,VVR3,5b501e4,A,2,2,BBQ.png,y,8.90
'00009',y,07-08-2020,09:39:27,11350,India,VVR1,5b501e4,D,1,1,TT.png,y,5.82
'00009',y,07-08-2020,09:39:28,12906,India,VVR1,5b501e4,D,1,2,BBQ.png,y,5.22
'00009',y,07-08-2020,09:39:37,21205,India,VVR1,5b501e4,D,2,1,TT.png,y,4.24
'00009',y,07-08-2020,09:39:38,22755,India,VVR1,5b501e4,D,2,2,BBQ.png,y,8.86
'00009',y,07-08-2020,09:41:06,9465,India,VVR2,5b501e4,D,1,1,BBQ.png,y,1.18
'00009',y,07-08-2020,09:41:07,11111,India,VVR2,5b501e4,D,1,2,TT.png,y,7.10
'00009',y,07-08-2020,09:41:18,21612,India,VVR2,5b501e4,D,2,1,BBQ.png,y,4.14
'00009',y,07-08-2020,09:41:19,23170,India,VVR2,5b501e4,D,2,2,TT.png,y,8.10
'00009',y,07-08-2020,09:42:48,9970,India,VVR3,5b501e4,D,1,1,TT.png,y,6.62
'00009',y,07-08-2020,09:42:50,12288,India,VVR3,5b501e4,D,1,2,BBQ.png,y,6.96
'00009',y,07-08-2020,09:43:01,23366,India,VVR3,5b501e4,D,2,1,BBQ.png,y,3.64
'00009',y,07-08-2020,09:43:03,25120,India,VVR3,5b501e4,D,2,2,TT.png,y,3.08
'00010',y,07-08-2020,09:39:27,11588,local,VVR1,5b501e4,D,1,1,TT.png,y,3.78
'00010',y,07-08-2020,09:39:29,13149,local,VVR1,5b501e4,D,1,2,BBQ.png,y,5.32
'00010',y,07-08-2020,09:39:38,22442,local,VVR1,5b501e4,D,2,1,BBQ.png,y,2.56
'00010',y,07-08-2020,09:39:40,23994,local,VVR1,5b501e4,D,2,2,TT.png,y,8.66
'00010',y,07-08-2020,09:41:07,9446,local,VVR2,5b501e4,D,1,1,TT.png,y,5.74
'00010',y,07-08-2020,09:41:09,11078,local,VVR2,5b501e4,D,1,2,BBQ.png,y,3.02
'00010',y,07-08-2020,09:41:18,20426,local,VVR2,5b501e4,D,2,1,BBQ.png,y,5.90
'00010',y,07-08-2020,09:41:20,22071,local,VVR2,5b501e4,D,2,2,TT.png,y,6.42
'00010',y,07-08-2020,09:42:49,10535,local,VVR3,5b501e4,D,1,1,TT.png,y,1.18
'00010',y,07-08-2020,09:42:50,12221,local,VVR3,5b501e4,D,1,2,BBQ.png,y,7.98
'00010',y,07-08-2020,09:43:00,21659,local,VVR3,5b501e4,D,2,1,BBQ.png,y,5.50
'00010',y,07-08-2020,09:43:02,23326,local,VVR3,5b501e4,D,2,2,TT.png,y,3.02
'00011',y,07-08-2020,09:38:08,8128,United States,VVR1,5b501e4,F,1,1,TT.png,y,7.64
'00011',y,07-08-2020,09:38:09,9678,United States,VVR1,5b501e4,F,1,2,MM.png,y,4.36
'00011',y,07-08-2020,09:38:20,20869,United States,VVR1,5b501e4,F,2,1,MM.png,y,8.56
'00011',y,07-08-2020,09:38:22,22477,United States,VVR1,5b501e4,F,2,2,TT.png,y,7.70
'00011',y,07-08-2020,09:39:49,9125,United States,VVR2,5b501e4,F,1,1,TT.png,y,1.90
'00011',y,07-08-2020,09:39:51,10692,United States,VVR2,5b501e4,F,1,2,MM.png,y,1.78
'00011',y,07-08-2020,09:40:03,22825,United States,VVR2,5b501e4,F,2,1,MM.png,y,1.48
'00011',y,07-08-2020,09:40:04,24375,United States,VVR2,5b501e4,F,2,2,TT.png,y,1.76
'00011',y,07-08-2020,09:41:31,8123,United States,VVR3,5b501e4,F,1,1,MM.png,y,8.00
'00011',y,07-08-2020,09:41:32,9674,United States,VVR3,5b501e4,F,1,2,TT.png,y,4.16
'00011',y,07-08-2020,09:41:43,20840,United States,VVR3,5b501e4,F,2,1,MM.png,y,4.46
'00011',y,07-08-2020,09:41:45,22391,United States,VVR3,5b501e4,F,2,2,TT.png,y,7.42
'00012',y,07-08-2020,09:38:27,8142,Philippines,VVR1,5b501e4,E,1,1,TT.png,y,1.36
'00012',y,07-08-2020,09:38:29,9693,Philippines,VVR1,5b501e4,E,1,2,MM.png,y,2.54
'00012',y,07-08-2020,09:38:40,20860,Philippines,VVR1,5b501e4,E,2,1,TT.png,y,7.76
'00012',y,07-08-2020,09:38:41,22410,Philippines,VVR1,5b501e4,E,2,2,MM.png,y,5.60
'00012',y,07-08-2020,09:40:08,8108,Philippines,VVR2,5b501e4,E,1,1,TT.png,y,4.46
'00012',y,07-08-2020,09:40:09,9657,Philippines,VVR2,5b501e4,E,1,2,MM.png,y,1.02
'00012',y,07-08-2020,09:40:17,17828,Philippines,VVR2,5b501e4,E,2,1,MM.png,y,5.38
'00012',y,07-08-2020,09:40:19,19373,Philippines,VVR2,5b501e4,E,2,2,TT.png,y,8.26
'00012',y,07-08-2020,09:41:46,9126,Philippines,VVR3,5b501e4,E,1,1,MM.png,y,2.26
'00012',y,07-08-2020,09:41:48,10674,Philippines,VVR3,5b501e4,E,1,2,TT.png,y,1.14
'00012',y,07-08-2020,09:41:58,20858,Philippines,VVR3,5b501e4,E,2,1,MM.png,y,7.84
'00012',y,07-08-2020,09:42:00,22410,Philippines,VVR3,5b501e4,E,2,2,TT.png,y,7.38
'00013',y,07-08-2020,09:39:29,10625,India,VVR1,5b501e4,C,1,1,TT.png,y,7.04
'00013',y,07-08-2020,09:39:30,12191,India,VVR1,5b501e4,C,1,2,BBQ.png,y,5.30
'00013',y,07-08-2020,09:39:40,21507,India,VVR1,5b501e4,C,2,1,TT.png,y,6.94
'00013',y,07-08-2020,09:39:41,23052,India,VVR1,5b501e4,C,2,2,BBQ.png,y,1.14
'00013',y,07-08-2020,09:41:09,9417,India,VVR2,5b501e4,C,1,1,TT.png,y,2.24
'00013',y,07-08-2020,09:41:10,11124,India,VVR2,5b501e4,C,1,2,BBQ.png,y,6.72
'00013',y,07-08-2020,09:41:21,21381,India,VVR2,5b501e4,C,2,1,TT.png,y,3.06
'00013',y,07-08-2020,09:41:22,22949,India,VVR2,5b501e4,C,2,2,BBQ.png,y,4.14
'00013',y,07-08-2020,09:42:52,11490,India,VVR3,5b501e4,C,1,1,BBQ.png,y,6.30
'00013',y,07-08-2020,09:42:53,13056,India,VVR3,5b501e4,C,1,2,TT.png,y,4.86
'00013',y,07-08-2020,09:43:04,23479,India,VVR3,5b501e4,C,2,1,BBQ.png,y,4.22
'00013',y,07-08-2020,09:43:06,25879,India,VVR3,5b501e4,C,2,2,TT.png,y,8.80
'00014',y,07-08-2020,09:39:24,10477,India,VVR1,5b501e4,J,1,1,BBQ.png,y,5.86
'00014',y,07-08-2020,09:39:25,12143,India,VVR1,5b501e4,J,1,2,TT.png,y,4.48
'00014',y,07-08-2020,09:39:36,22807,India,VVR1,5b501e4,J,2,1,BBQ.png,y,5.52
'00014',y,07-08-2020,09:39:37,24379,India,VVR1,5b501e4,J,2,2,TT.png,y,5.88
'00014',y,07-08-2020,09:41:05,9250,India,VVR2,5b501e4,J,1,1,TT.png,y,5.84
'00014',y,07-08-2020,09:41:07,10871,India,VVR2,5b501e4,J,1,2,BBQ.png,y,8.14
'00014',y,07-08-2020,09:41:16,20202,India,VVR2,5b501e4,J,2,1,BBQ.png,y,8.06
'00014',y,07-08-2020,09:41:17,21752,India,VVR2,5b501e4,J,2,2,TT.png,y,3.98
'00014',y,07-08-2020,09:42:46,10233,India,VVR3,5b501e4,J,1,1,TT.png,y,5.48
'00014',y,07-08-2020,09:42:48,11936,India,VVR3,5b501e4,J,1,2,BBQ.png,y,1.20
'00014',y,07-08-2020,09:42:58,21860,India,VVR3,5b501e4,J,2,1,TT.png,y,8.76
'00014',y,07-08-2020,09:43:00,23638,India,VVR3,5b501e4,J,2,2,BBQ.png,y,1.82
'00015',y,07-08-2020,09:38:31,9126,United States,VVR1,5b501e4,F,1,1,MM.png,y,5.84
'00015',y,07-08-2020,09:38:33,10676,United States,VVR1,5b501e4,F,1,2,TT.png,y,1.78
'00015',y,07-08-2020,09:38:43,20825,United States,VVR1,5b501e4,F,2,1,MM.png,y,7.74
'00015',y,07-08-2020,09:38:44,22375,United States,VVR1,5b501e4,F,2,2,TT.png,y,8.60
'00015',y,07-08-2020,09:40:14,11126,United States,VVR2,5b501e4,F,1,1,TT.png,y,4.72
'00015',y,07-08-2020,09:40:15,12698,United States,VVR2,5b501e4,F,1,2,MM.png,y,5.80
'00015',y,07-08-2020,09:40:25,22859,United States,VVR2,5b501e4,F,2,1,MM.png,y,4.92
'00015',y,07-08-2020,09:40:27,24432,United States,VVR2,5b501e4,F,2,2,TT.png,y,1.06
'00015',y,07-08-2020,09:41:54,9129,United States,VVR3,5b501e4,F,1,1,MM.png,y,5.94
'00015',y,07-08-2020,09:41:56,10710,United States,VVR3,5b501e4,F,1,2,TT.png,y,5.30
'00015',y,07-08-2020,09:42:07,21904,United States,VVR3,5b501e4,F,2,1,MM.png,y,2.78
'00015',y,07-08-2020,09:42:09,23465,United States,VVR3,5b501e4,F,2,2,TT.png,y,6.24
'00016',y,07-08-2020,09:39:02,9171,United Kingdom,VVR1,5b501e4,E,1,1,TT.png,y,2.66
'00016',y,07-08-2020,09:39:04,10726,United Kingdom,VVR1,5b501e4,E,1,2,MM.png,y,6.26
'00016',y,07-08-2020,09:39:15,21995,United Kingdom,VVR1,5b501e4,E,2,1,MM.png,y,4.68
'00016',y,07-08-2020,09:39:17,23544,United Kingdom,VVR1,5b501e4,E,2,2,TT.png,y,3.42
'00016',y,07-08-2020,09:40:43,8109,United Kingdom,VVR2,5b501e4,E,1,1,TT.png,y,4.52
'00016',y,07-08-2020,09:40:45,9658,United Kingdom,VVR2,5b501e4,E,1,2,MM.png,y,4.82
'00016',y,07-08-2020,09:40:54,18793,United Kingdom,VVR2,5b501e4,E,2,1,TT.png,y,5.46
'00016',y,07-08-2020,09:40:55,20393,United Kingdom,VVR2,5b501e4,E,2,2,MM.png,y,8.08
'00016',y,07-08-2020,09:42:24,10172,United Kingdom,VVR3,5b501e4,E,1,1,TT.png,y,5.16
'00016',y,07-08-2020,09:42:25,11773,United Kingdom,VVR3,5b501e4,E,1,2,MM.png,y,3.96
'00016',y,07-08-2020,09:42:35,21180,United Kingdom,VVR3,5b501e4,E,2,1,TT.png,y,2.76
'00016',y,07-08-2020,09:42:37,23192,United Kingdom,VVR3,5b501e4,E,2,2,MM.png,y,1.92
'00017',y,07-08-2020,09:39:20,9307,India,VVR1,5b501e4,A,1,1,BBQ.png,y,7.14
'00017',y,07-08-2020,09:39:21,10896,India,VVR1,5b501e4,A,1,2,MM.png,y,5.48
'00017',y,07-08-2020,09:39:31,20437,India,VVR1,5b501e4,A,2,1,BBQ.png,y,3.62
'00017',y,07-08-2020,09:39:32,22017,India,VVR1,5b501e4,A,2,2,MM.png,y,8.24
'00017',y,07-08-2020,09:41:00,9337,India,VVR2,5b501e4,A,1,1,MM.png,y,3.74
'00017',y,07-08-2020,09:41:02,11013,India,VVR2,5b501e4,A,1,2,BBQ.png,y,4.66
'00017',y,07-08-2020,09:41:11,20740,India,VVR2,5b501e4,A,2,1,MM.png,y,6.22
'00017',y,07-08-2020,09:41:13,22402,India,VVR2,5b501e4,A,2,2,BBQ.png,y,8.76
'00017',y,07-08-2020,09:42:40,8740,India,VVR3,5b501e4,A,1,1,BBQ.png,y,9.10
'00017',y,07-08-2020,09:42:42,10631,India,VVR3,5b501e4,A,1,2,MM.png,y,6.94
'00017',y,07-08-2020,09:42:53,22034,India,VVR3,5b501e4,A,2,1,MM.png,y,5.14
'00017',y,07-08-2020,09:42:55,23700,India,VVR3,5b501e4,A,2,2,BBQ.png,y,2.24
'00018',y,07-08-2020,09:39:19,8395,local,VVR1,5b501e4,D,1,1,BBQ.png,y,1.04
'00018',y,07-08-2020,09:39:21,10212,local,VVR1,5b501e4,D,1,2,TT.png,y,2.82
'00018',y,07-08-2020,09:39:31,19811,local,VVR1,5b501e4,D,2,1,BBQ.png,y,3.72
'00018',y,07-08-2020,09:39:32,21405,local,VVR1,5b501e4,D,2,2,TT.png,y,2.94
'00018',y,07-08-2020,09:41:00,9372,local,VVR2,5b501e4,D,1,1,TT.png,y,4.24
'00018',y,07-08-2020,09:41:02,11007,local,VVR2,5b501e4,D,1,2,BBQ.png,y,5.44
'00018',y,07-08-2020,09:41:12,21703,local,VVR2,5b501e4,D,2,1,BBQ.png,y,7.88
'00018',y,07-08-2020,09:41:14,23297,local,VVR2,5b501e4,D,2,2,TT.png,y,5.10
'00018',y,07-08-2020,09:42:45,12791,local,VVR3,5b501e4,D,1,1,BBQ.png,y,3.56
'00018',y,07-08-2020,09:42:47,14804,local,VVR3,5b501e4,D,1,2,TT.png,y,2.64
'00018',y,07-08-2020,09:42:59,26953,local,VVR3,5b501e4,D,2,1,BBQ.png,y,7.00
'00018',y,07-08-2020,09:43:01,29034,local,VVR3,5b501e4,D,2,2,TT.png,y,7.30
'00019',y,07-08-2020,09:39:20,8348,India,VVR1,5b501e4,K,1,1,MM.png,y,5.48
'00019',y,07-08-2020,09:39:21,9991,India,VVR1,5b501e4,K,1,2,TT.png,y,5.14
'00019',y,07-08-2020,09:39:31,19347,India,VVR1,5b501e4,K,2,1,MM.png,y,6.04
'00019',y,07-08-2020,09:39:32,20932,India,VVR1,5b501e4,K,2,2,TT.png,y,3.12
'00019',y,07-08-2020,09:41:03,12338,India,VVR2,5b501e4,K,1,1,TT.png,y,8.40
'00019',y,07-08-2020,09:41:05,14130,India,VVR2,5b501e4,K,1,2,MM.png,y,5.68
'00019',y,07-08-2020,09:41:14,23545,India,VVR2,5b501e4,K,2,1,TT.png,y,7.52
'00019',y,07-08-2020,09:41:16,25093,India,VVR2,5b501e4,K,2,2,MM.png,y,6.40
'00019',y,07-08-2020,09:42:44,9548,India,VVR3,5b501e4,K,1,1,TT.png,y,8.92
'00019',y,07-08-2020,09:42:45,11436,India,VVR3,5b501e4,K,1,2,MM.png,y,1.62
'00019',y,07-08-2020,09:42:56,22400,India,VVR3,5b501e4,K,2,1,MM.png,y,8.34
'00019',y,07-08-2020,09:42:58,24335,India,VVR3,5b501e4,K,2,2,TT.png,y,2.06
'00020',y,07-08-2020,09:38:48,9108,United States,VVR1,5b501e4,B,1,1,MM.png,y,3.76
'00020',y,07-08-2020,09:38:49,10659,United States,VVR1,5b501e4,B,1,2,BBQ.png,y,7.46
'00020',y,07-08-2020,09:38:59,19794,United States,VVR1,5b501e4,B,2,1,BBQ.png,y,8.32
'00020',y,07-08-2020,09:39:00,21345,United States,VVR1,5b501e4,B,2,2,MM.png,y,8.18
'00020',y,07-08-2020,09:40:28,10136,United States,VVR2,5b501e4,B,1,1,MM.png,y,4.22
'00020',y,07-08-2020,09:40:30,11686,United States,VVR2,5b501e4,B,1,2,BBQ.png,y,3.02
'00020',y,07-08-2020,09:40:40,21833,United States,VVR2,5b501e4,B,2,1,BBQ.png,y,4.08
'00020',y,07-08-2020,09:40:42,23385,United States,VVR2,5b501e4,B,2,2,MM.png,y,6.34
'00020',y,07-08-2020,09:42:10,10190,United States,VVR3,5b501e4,B,1,1,MM.png,y,1.20
'00020',y,07-08-2020,09:42:12,11744,United States,VVR3,5b501e4,B,1,2,BBQ.png,y,6.00
'00020',y,07-08-2020,09:42:20,20028,United States,VVR3,5b501e4,B,2,1,BBQ.png,y,7.10
'00020',y,07-08-2020,09:42:21,21628,United States,VVR3,5b501e4,B,2,2,MM.png,y,6.56
'00021',y,07-08-2020,09:39:25,9370,local,VVR1,5b501e4,E,1,1,MM.png,y,6.72
'00021',y,07-08-2020,09:39:27,10972,local,VVR1,5b501e4,E,1,2,TT.png,y,7.34
'00021',y,07-08-2020,09:39:35,19448,local,VVR1,5b501e4,E,2,1,TT.png,y,7.64
'00021',y,07-08-2020,09:39:37,21001,local,VVR1,5b501e4,E,2,2,MM.png,y,1.08
'00021',y,07-08-2020,09:41:07,12513,local,VVR2,5b501e4,E,1,1,TT.png,y,3.08
'00021',y,07-08-2020,09:41:09,14109,local,VVR2,5b501e4,E,1,2,MM.png,y,1.86
'00021',y,07-08-2020,09:41:19,24485,local,VVR2,5b501e4,E,2,1,MM.png,y,3.84
'00021',y,07-08-2020,09:41:21,26034,local,VVR2,5b501e4,E,2,2,TT.png,y,6.90
'00021',y,07-08-2020,09:42:48,8697,local,VVR3,5b501e4,E,1,1,MM.png,y,2.26
'00021',y,07-08-2020,09:42:50,10999,local,VVR3,5b501e4,E,1,2,TT.png,y,3.62
'00021',y,07-08-2020,09:43:02,23187,local,VVR3,5b501e4,E,2,1,TT.png,y,7.58
'00021',y,07-08-2020,09:43:04,24819,local,VVR3,5b501e4,E,2,2,MM.png,y,2.58
'00022',y,07-08-2020,09:39:14,10321,India,VVR1,5b501e4,L,1,1,MM.png,y,9.56
'00022',y,07-08-2020,09:39:16,11948,India,VVR1,5b501e4,L,1,2,TT.png,y,8.96
'00022',y,07-08-2020,09:39:26,21469,India,VVR1,5b501e4,L,2,1,TT.png,y,4.50
'00022',y,07-08-2020,09:39:27,23213,India,VVR1,5b501e4,L,2,2,MM.png,y,3.72
'00022',y,07-08-2020,09:40:56,10163,India,VVR2,5b501e4,L,1,1,TT.png,y,6.78
'00022',y,07-08-2020,09:40:57,11794,India,VVR2,5b501e4,L,1,2,MM.png,y,3.62
