PIN,complete,date,calendar_time,timestamp,location,timezone,stage,commit,version,block,interval,event_type,event_raw,event_converted
'00001',y,30-07-2020,12:07:21,259,local,local,demographics,dcfd592,B,NA,NA,button clicked,Submit,"""Submit"" selected"
'00001',y,30-07-2020,12:07:21,0,local,local,WBF_open,dcfd592,B,NA,NA,text appears,open_instruct_text_WBF,WBF_open text appears
'00001',y,30-07-2020,12:07:23,1512,local,local,WBF_open,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:23,1513,local,local,WBF_open,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:23,0,local,local,inventory_open,dcfd592,B,NA,NA,text appears,open_instruct_text_inventory,inventory_open text appears
'00001',y,30-07-2020,12:07:24,1508,local,local,inventory_open,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:24,1509,local,local,inventory_open,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:24,0,local,local,DASS,dcfd592,B,NA,NA,questions appears,"DASS-21, options",DASS-21 questions appears
'00001',y,30-07-2020,12:07:24,109,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:24,109,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q1A2,Q1A2 answer displayed
'00001',y,30-07-2020,12:07:24,109,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:24,158,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:24,158,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q2A3,Q2A3 answer displayed
'00001',y,30-07-2020,12:07:24,159,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,230,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,230,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q3A4,Q3A4 answer displayed
'00001',y,30-07-2020,12:07:25,231,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,358,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,358,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q4A3,Q4A3 answer displayed
'00001',y,30-07-2020,12:07:25,359,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,426,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,427,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q5A4,Q5A4 answer displayed
'00001',y,30-07-2020,12:07:25,427,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,457,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,457,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q6A4,Q6A4 answer displayed
'00001',y,30-07-2020,12:07:25,458,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,525,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,525,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q7A4,Q7A4 answer displayed
'00001',y,30-07-2020,12:07:25,526,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,593,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,594,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q8A3,Q8A3 answer displayed
'00001',y,30-07-2020,12:07:25,594,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,709,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,709,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q9A4,Q9A4 answer displayed
'00001',y,30-07-2020,12:07:25,710,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,726,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,726,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q10A1,Q10A1 answer displayed
'00001',y,30-07-2020,12:07:25,726,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,825,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,825,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q11A4,Q11A4 answer displayed
'00001',y,30-07-2020,12:07:25,826,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,959,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,959,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q12A3,Q12A3 answer displayed
'00001',y,30-07-2020,12:07:25,961,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,1079,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,1079,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q13A2,Q13A2 answer displayed
'00001',y,30-07-2020,12:07:25,1080,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:25,1174,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:25,1174,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q14A4,Q14A4 answer displayed
'00001',y,30-07-2020,12:07:25,1175,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:26,1241,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:26,1241,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q15A2,Q15A2 answer displayed
'00001',y,30-07-2020,12:07:26,1242,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:26,1343,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:26,1343,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q16A2,Q16A2 answer displayed
'00001',y,30-07-2020,12:07:26,1344,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:26,1425,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:26,1425,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q17A2,Q17A2 answer displayed
'00001',y,30-07-2020,12:07:26,1426,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:26,1559,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:26,1559,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q18A3,Q18A3 answer displayed
'00001',y,30-07-2020,12:07:26,1560,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:26,1593,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:26,1593,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q19A4,Q19A4 answer displayed
'00001',y,30-07-2020,12:07:26,1595,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:26,1727,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:26,1728,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q20A2,Q20A2 answer displayed
'00001',y,30-07-2020,12:07:26,1729,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:26,1842,local,local,DASS,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:26,1842,local,local,DASS,dcfd592,B,NA,NA,answer displayed,Q21A2,Q21A2 answer displayed
'00001',y,30-07-2020,12:07:26,1844,local,local,DASS,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:26,1850,local,local,DASS,dcfd592,B,NA,NA,button clicked,Submit,"""Submit"" selected"
'00001',y,30-07-2020,12:07:26,0,local,local,smoking,dcfd592,B,NA,NA,questions appears,"SS, options",SS questions appears
'00001',y,30-07-2020,12:07:26,233,local,local,smoking,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:26,233,local,local,smoking,dcfd592,B,NA,NA,answer displayed,Q1A1,Q1A1 answer displayed
'00001',y,30-07-2020,12:07:26,234,local,local,smoking,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,400,local,local,smoking,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,400,local,local,smoking,dcfd592,B,NA,NA,answer displayed,Q2A1,Q2A1 answer displayed
'00001',y,30-07-2020,12:07:27,401,local,local,smoking,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,403,local,local,smoking,dcfd592,B,NA,NA,button clicked,Submit,"""Submit"" selected"
'00001',y,30-07-2020,12:07:27,0,local,local,FTND,dcfd592,B,NA,NA,questions appears,"FTND, options",FTND questions appears
'00001',y,30-07-2020,12:07:27,120,local,local,FTND,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,120,local,local,FTND,dcfd592,B,NA,NA,answer displayed,Q1A1,Q1A1 answer displayed
'00001',y,30-07-2020,12:07:27,121,local,local,FTND,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,290,local,local,FTND,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,290,local,local,FTND,dcfd592,B,NA,NA,answer displayed,Q2A1,Q2A1 answer displayed
'00001',y,30-07-2020,12:07:27,291,local,local,FTND,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,390,local,local,FTND,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,390,local,local,FTND,dcfd592,B,NA,NA,answer displayed,Q3A1,Q3A1 answer displayed
'00001',y,30-07-2020,12:07:27,390,local,local,FTND,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,520,local,local,FTND,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,520,local,local,FTND,dcfd592,B,NA,NA,answer displayed,Q4A1,Q4A1 answer displayed
'00001',y,30-07-2020,12:07:27,521,local,local,FTND,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,637,local,local,FTND,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,637,local,local,FTND,dcfd592,B,NA,NA,answer displayed,Q5A1,Q5A1 answer displayed
'00001',y,30-07-2020,12:07:27,637,local,local,FTND,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,804,local,local,FTND,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,804,local,local,FTND,dcfd592,B,NA,NA,answer displayed,Q6A1,Q6A1 answer displayed
'00001',y,30-07-2020,12:07:27,805,local,local,FTND,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,808,local,local,FTND,dcfd592,B,NA,NA,button clicked,Submit,"""Submit"" selected"
'00001',y,30-07-2020,12:07:27,0,local,local,PC-PTSD-5,dcfd592,B,NA,NA,questions appears,"PTSD, options",PTSD questions appears
'00001',y,30-07-2020,12:07:27,36,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,36,local,local,PC-PTSD-5,dcfd592,B,NA,NA,answer displayed,Q1A1,Q1A1 answer displayed
'00001',y,30-07-2020,12:07:27,37,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,70,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,70,local,local,PC-PTSD-5,dcfd592,B,NA,NA,answer displayed,Q2A1,Q2A1 answer displayed
'00001',y,30-07-2020,12:07:27,70,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:27,89,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:27,89,local,local,PC-PTSD-5,dcfd592,B,NA,NA,answer displayed,Q3A1,Q3A1 answer displayed
'00001',y,30-07-2020,12:07:27,89,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,120,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,120,local,local,PC-PTSD-5,dcfd592,B,NA,NA,answer displayed,Q4A1,Q4A1 answer displayed
'00001',y,30-07-2020,12:07:28,120,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,224,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,224,local,local,PC-PTSD-5,dcfd592,B,NA,NA,answer displayed,Q5A1,Q5A1 answer displayed
'00001',y,30-07-2020,12:07:28,225,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,353,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,353,local,local,PC-PTSD-5,dcfd592,B,NA,NA,answer displayed,Q6A2,Q6A2 answer displayed
'00001',y,30-07-2020,12:07:28,354,local,local,PC-PTSD-5,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,358,local,local,PC-PTSD-5,dcfd592,B,NA,NA,button clicked,Submit,"""Submit"" selected"
'00001',y,30-07-2020,12:07:28,0,local,local,GAD-7,dcfd592,B,NA,NA,questions appears,"GAD-7, options",GAD-7 questions appears
'00001',y,30-07-2020,12:07:28,190,local,local,GAD-7,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,190,local,local,GAD-7,dcfd592,B,NA,NA,answer displayed,Q1A3,Q1A3 answer displayed
'00001',y,30-07-2020,12:07:28,190,local,local,GAD-7,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,221,local,local,GAD-7,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,221,local,local,GAD-7,dcfd592,B,NA,NA,answer displayed,Q2A2,Q2A2 answer displayed
'00001',y,30-07-2020,12:07:28,222,local,local,GAD-7,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,255,local,local,GAD-7,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,255,local,local,GAD-7,dcfd592,B,NA,NA,answer displayed,Q3A3,Q3A3 answer displayed
'00001',y,30-07-2020,12:07:28,256,local,local,GAD-7,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,390,local,local,GAD-7,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,390,local,local,GAD-7,dcfd592,B,NA,NA,answer displayed,Q4A4,Q4A4 answer displayed
'00001',y,30-07-2020,12:07:28,391,local,local,GAD-7,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,507,local,local,GAD-7,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,507,local,local,GAD-7,dcfd592,B,NA,NA,answer displayed,Q5A4,Q5A4 answer displayed
'00001',y,30-07-2020,12:07:28,508,local,local,GAD-7,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,574,local,local,GAD-7,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,574,local,local,GAD-7,dcfd592,B,NA,NA,answer displayed,Q6A2,Q6A2 answer displayed
'00001',y,30-07-2020,12:07:28,575,local,local,GAD-7,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:28,724,local,local,GAD-7,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:28,724,local,local,GAD-7,dcfd592,B,NA,NA,answer displayed,Q7A2,Q7A2 answer displayed
'00001',y,30-07-2020,12:07:29,725,local,local,GAD-7,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:29,740,local,local,GAD-7,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:29,740,local,local,GAD-7,dcfd592,B,NA,NA,answer displayed,Q8A2,Q8A2 answer displayed
'00001',y,30-07-2020,12:07:29,741,local,local,GAD-7,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:29,1081,local,local,GAD-7,dcfd592,B,NA,NA,button clicked,Submit,"""Submit"" selected"
'00001',y,30-07-2020,12:07:29,0,local,local,PID-5-BF,dcfd592,B,NA,NA,questions appears,"PC-PTSD-5, options",PC-PTSD-5 questions appears
'00001',y,30-07-2020,12:07:29,165,local,local,PID-5-BF,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:29,165,local,local,PID-5-BF,dcfd592,B,NA,NA,answer displayed,Q1A1,Q1A1 answer displayed
'00001',y,30-07-2020,12:07:29,165,local,local,PID-5-BF,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:29,198,local,local,PID-5-BF,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:29,198,local,local,PID-5-BF,dcfd592,B,NA,NA,answer displayed,Q2A1,Q2A1 answer displayed
'00001',y,30-07-2020,12:07:29,198,local,local,PID-5-BF,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:29,298,local,local,PID-5-BF,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:29,298,local,local,PID-5-BF,dcfd592,B,NA,NA,answer displayed,Q3A2,Q3A2 answer displayed
'00001',y,30-07-2020,12:07:29,298,local,local,PID-5-BF,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:29,367,local,local,PID-5-BF,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:29,367,local,local,PID-5-BF,dcfd592,B,NA,NA,answer displayed,Q4A1,Q4A1 answer displayed
'00001',y,30-07-2020,12:07:29,368,local,local,PID-5-BF,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:29,415,local,local,PID-5-BF,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:29,415,local,local,PID-5-BF,dcfd592,B,NA,NA,answer displayed,Q5A2,Q5A2 answer displayed
'00001',y,30-07-2020,12:07:29,415,local,local,PID-5-BF,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:29,466,local,local,PID-5-BF,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:29,466,local,local,PID-5-BF,dcfd592,B,NA,NA,answer displayed,Q6A2,Q6A2 answer displayed
'00001',y,30-07-2020,12:07:29,467,local,local,PID-5-BF,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:29,551,local,local,PID-5-BF,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:29,551,local,local,PID-5-BF,dcfd592,B,NA,NA,answer displayed,Q7A1,Q7A1 answer displayed
'00001',y,30-07-2020,12:07:29,552,local,local,PID-5-BF,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:29,630,local,local,PID-5-BF,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:29,630,local,local,PID-5-BF,dcfd592,B,NA,NA,answer displayed,Q8A1,Q8A1 answer displayed
